vessel	cruise	haul	species	sex	specimen	age	length
518	198101	82	20510	1	360	4	57
518	198101	82	20510	1	361	4	58
518	198101	82	20510	2	405	4	45
518	198101	82	20510	2	406	4	46
518	198101	82	20510	2	407	4	47
518	198101	82	20510	2	409	4	48
518	198101	82	20510	2	410	4	48
518	198101	82	20510	2	412	4	49
518	198101	82	20510	2	413	4	50
518	198101	82	20510	2	414	4	50
518	198101	82	20510	2	415	4	51
518	198101	82	20510	2	416	4	51
518	198101	82	20510	2	418	4	52
518	198101	82	20510	2	419	4	53
518	198101	82	20510	2	422	4	54
518	198101	82	20510	2	424	4	55
518	198101	82	20510	2	426	4	56
518	198101	82	20510	2	428	4	57
518	198101	82	20510	2	432	4	59
518	198101	82	20510	2	433	4	60
518	198101	82	20510	2	434	4	60
518	198101	82	20510	2	438	4	62
518	198101	92	20510	1	164	4	44
518	198101	92	20510	1	166	4	45
518	198101	92	20510	1	168	4	47
518	198101	92	20510	1	170	4	48
518	198101	92	20510	1	171	4	48
518	198101	92	20510	1	174	4	50
518	198101	92	20510	1	175	4	50
518	198101	92	20510	1	176	4	51
518	198101	92	20510	1	177	4	51
518	198101	92	20510	1	179	4	52
518	198101	92	20510	1	180	4	53
518	198101	92	20510	1	181	4	53
518	198101	92	20510	1	183	4	54
518	198101	92	20510	1	184	4	55
518	198101	92	20510	1	185	4	55
518	198101	92	20510	1	188	4	57
518	198101	92	20510	1	189	4	57
518	198101	92	20510	1	195	4	60
518	198101	92	20510	1	197	4	61
518	198101	92	20510	2	267	4	60
518	198101	92	20510	2	270	4	62
518	198101	92	20510	2	271	4	62
518	198101	92	20510	2	272	4	63
518	198101	92	20510	2	240	4	47
518	198101	92	20510	2	242	4	48
518	198101	92	20510	2	243	4	48
518	198101	92	20510	2	244	4	49
518	198101	92	20510	2	248	4	51
518	198101	92	20510	2	251	4	52
518	198101	92	20510	2	252	4	53
518	198101	92	20510	2	254	4	54
518	198101	92	20510	2	257	4	55
518	198101	92	20510	2	259	4	56
518	198101	92	20510	2	260	4	57
518	198101	92	20510	2	261	4	57
518	198101	92	20510	2	262	4	58
518	198101	92	20510	2	263	4	58
518	198101	92	20510	2	264	4	59
518	198101	92	20510	2	266	4	60
518	198101	104	20510	1	659	4	55
518	198101	104	20510	1	661	4	56
518	198101	104	20510	1	663	4	57
518	198101	104	20510	1	642	4	46
518	198101	104	20510	1	643	4	47
518	198101	104	20510	1	644	4	47
518	198101	104	20510	1	645	4	48
518	198101	104	20510	1	646	4	48
518	198101	104	20510	1	647	4	49
518	198101	104	20510	1	648	4	49
518	198101	104	20510	1	649	4	50
518	198101	104	20510	1	654	4	52
518	198101	104	20510	1	655	4	53
518	198101	104	20510	1	656	4	53
518	198101	104	20510	2	744	4	61
518	198101	104	20510	2	714	4	46
518	198101	104	20510	2	715	4	46
518	198101	104	20510	2	717	4	47
518	198101	104	20510	2	718	4	48
518	198101	104	20510	2	719	4	48
518	198101	104	20510	2	720	4	49
518	198101	104	20510	2	723	4	50
518	198101	104	20510	2	726	4	52
518	198101	104	20510	2	731	4	54
518	198101	104	20510	2	733	4	55
518	198101	104	20510	2	734	4	56
518	198101	104	20510	2	736	4	57
518	198101	40	20510	1	1018	5	53
518	198101	40	20510	1	1024	5	56
518	198101	40	20510	1	1032	5	60
